Date,SJVI
1951,6.702024757
1952,4.765999129
1953,3.805807331
1954,3.250377604
1955,2.416290551
1956,3.36153262
1957,3.734884369
1958,1.900221857
1959,1.5014809
1960,3.7548104
1961,4.215048804
1962,1.539427764
1963,6.573617605
1964,5.299833845
1965,4.232492861
1966,3.148531825
1967,2.517039013
1968,4.024039305
1969,1.935846805
1970,1.334134019
1971,2.42722184
1972,4.792534076
1973,2.187043658
1974,4.134282894
1975,4.773898401
1976,4.139260975
1977,4.110013422
1978,1.955911018
1979,2.18305897
1980,3.761360353
1981,3.652825191
1982,3.769472873
1983,2.887626458
1984,0.913559628
1985,6.672397065
1986,2.512637818
1987,2.17901772
1988,2.060075532
1989,2.620197341
1990,3.072574548
1991,3.479371949
1992,4.325846561
1993,3.837174181
1994,2.459139802
1995,6.451043834
1996,4.428490348
1997,5.143408493
1998,3.05991025
1999,2.060742847
2000,1.635966485
2001,0.706820823
2002,3.571459596
2003,2.999231167
2004,2.982949649
2005,1.267274702
2006,2.329197185
2007,3.46372306
2008,0.854878649
2009,3.364516605
2010,1.272093039
2011,4.979354838
2012,2.611637183
2013,4.591098548
2014,4.389530817
2015,3.561115498
2016,4.37062877
2017,4.980110958
2018,4.990805632
2019,5.679991527
2020,5.457512384
2021,2.625594797
2022,3.907426915
2023,4.775171085
2024,3.778188864
2025,3.145058674
2026,3.2294547
2027,3.405922988
2028,2.484833985
2029,3.13036854
2030,2.769310803
2031,5.404228777
2032,7.672401257
2033,3.760244688
2034,4.911420097
2035,4.204810742
2036,4.926948824
2037,3.753337102
2038,3.090087287
2039,6.052182367
2040,2.187774087
2041,2.583295178
2042,4.122127884
2043,7.065631816
2044,4.999930351
2045,2.076589765
2046,3.709826368
2047,3.428062307
2048,2.829746444
2049,2.651783374
2050,2.654825643
2051,8.975812041
2052,2.383312292
2053,2.355161837
2054,1.535039485
2055,3.364219511
2056,6.030861537
2057,6.190600998
2058,3.766562285
2059,5.003590178
2060,5.834981477
2061,4.85387835
2062,1.564038704
2063,3.478689344
2064,1.604750839
2065,3.360254733
2066,3.296214416
2067,2.458978762
2068,0.665646796
2069,5.334715769
2070,5.474101788
2071,1.24470949
2072,3.691297861
2073,3.48304484
2074,5.640097945
2075,4.567374959
2076,2.202909623
2077,2.145283849
2078,2.198005279
2079,3.633629036
2080,8.513622081
2081,2.91990135
2082,3.236346578
2083,0.828891552
2084,1.154628534
2085,0.743007322
2086,3.513452741
2087,6.691628092
2088,3.342553525
2089,2.739463716
2090,5.066536606
2091,6.139522248
2092,3.509260359
2093,2.733339986
2094,3.340335155
2095,4.741310051
2096,1.532850221
2097,3.059427243
2098,2.361793811
2099,3.190095793
2100,2.216012151
