Year,CanESM2_rcp45
1950,2
1951,1
1952,1
1953,1
1954,1
1955,1
1956,1
1957,2
1958,1
1959,2
1960,1
1961,1
1962,1
1963,2
1964,1
1965,1
1966,1
1967,2
1968,1
1969,1
1970,1
1971,2
1972,2
1973,1
1974,1
1975,1
1976,1
1977,1
1978,2
1979,2
1980,2
1981,1
1982,1
1983,1
1984,2
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,2
1992,1
1993,2
1994,1
1995,1
1996,1
1997,1
1998,2
1999,2
2000,2
2001,1
2002,2
2003,2
2004,1
2005,1
2006,1
2007,2
2008,2
2009,1
2010,1
2011,1
2012,2
2013,2
2014,2
2015,1
2016,1
2017,1
2018,2
2019,1
2020,1
2021,2
2022,1
2023,1
2024,1
2025,2
2026,1
2027,1
2028,1
2029,1
2030,2
2031,2
2032,1
2033,1
2034,1
2035,1
2036,2
2037,1
2038,2
2039,2
2040,1
2041,2
2042,1
2043,2
2044,2
2045,1
2046,1
2047,1
2048,1
2049,1
2050,2
2051,2
2052,2
2053,2
2054,2
2055,2
2056,2
2057,1
2058,2
2059,1
2060,1
2061,1
2062,1
2063,1
2064,2
2065,1
2066,1
2067,1
2068,1
2069,1
2070,1
2071,1
2072,2
2073,1
2074,1
2075,1
2076,2
2077,1
2078,1
2079,1
2080,1
2081,1
2082,2
2083,1
2084,1
2085,2
2086,1
2087,2
2088,1
2089,1
2090,1
2091,2
2092,2
2093,1
2094,1
2095,1
2096,2
2097,1
2098,1
2099,1
2100,2
