Date,SJVI
1951,5.163363652
1952,4.319036463
1953,5.649388097
1954,4.889037717
1955,3.490698647
1956,4.515469478
1957,2.640805712
1958,5.435428267
1959,2.303808906
1960,2.644504787
1961,4.149777651
1962,4.327276699
1963,1.528479668
1964,3.653088498
1965,5.380064401
1966,3.454490263
1967,2.281847687
1968,2.696541951
1969,5.378674098
1970,5.037483452
1971,2.397056889
1972,1.857994272
1973,2.810404369
1974,6.732840489
1975,3.097773054
1976,2.575803708
1977,5.379793977
1978,2.290007629
1979,1.331623045
1980,0.638463525
1981,4.230542092
1982,5.386153382
1983,3.557015599
1984,2.399777619
1985,6.235911418
1986,4.756158183
1987,3.189785652
1988,2.43972961
1989,3.762522823
1990,4.750739112
1991,2.270836228
1992,2.823805835
1993,0.891465473
1994,5.913226334
1995,3.101342267
1996,3.01499682
1997,3.794237547
1998,2.49096845
1999,1.641679305
2000,2.07243762
2001,2.207363649
2002,0.561009793
2003,1.428197725
2004,3.656769701
2005,4.682892528
2006,3.647496594
2007,1.31065901
2008,1.310066932
2009,4.955164981
2010,5.550045158
2011,2.214400871
2012,3.767797133
2013,1.721117604
2014,2.313862035
2015,3.903174199
2016,5.63124251
2017,6.289157748
2018,4.143509774
2019,1.503823754
2020,1.237224008
2021,1.858135466
2022,3.130802185
2023,1.619270356
2024,1.601188838
2025,2.720631692
2026,3.245721085
2027,6.532377893
2028,3.954525721
2029,1.082912164
2030,2.401508308
2031,4.342141726
2032,6.520440424
2033,5.235942143
2034,1.236120304
2035,1.040680665
2036,0.738895459
2037,0.940280195
2038,4.243084318
2039,3.645143599
2040,1.92510137
2041,2.868813151
2042,4.042132746
2043,1.213736618
2044,2.118018945
2045,5.063984587
2046,3.816232747
2047,2.334416979
2048,4.889641356
2049,4.158651186
2050,4.384890337
2051,1.954107356
2052,3.041665385
2053,2.890685586
2054,1.665548982
2055,4.643287818
2056,2.188755671
2057,2.239508015
2058,6.585463753
2059,5.26655093
2060,4.112878372
2061,5.26352044
2062,6.575313701
2063,8.721221658
2064,7.289190911
2065,3.543976336
2066,1.063946285
2067,1.023417643
2068,8.254202082
2069,3.628477931
2070,1.174925144
2071,4.682179273
2072,4.295746778
2073,4.120033338
2074,4.861394027
2075,2.114225546
2076,1.410605942
2077,1.73641267
2078,1.390235151
2079,7.352609374
2080,5.100219097
2081,1.216030253
2082,5.597636365
2083,5.717044454
2084,6.49068023
2085,7.011044941
2086,6.610326483
2087,2.63486334
2088,0.962000228
2089,5.894912497
2090,6.171478517
2091,3.993411795
2092,1.602943039
2093,4.989937946
2094,2.211364458
2095,3.780927548
2096,1.273037082
2097,2.017840083
2098,2.416734739
2099,3.837187647
2100,3.581286286
