Date,SJVI
1951,0.855153838
1952,4.099647153
1953,5.043494091
1954,7.169568041
1955,5.47169475
1956,3.627198707
1957,3.626901882
1958,3.066745604
1959,3.008520241
1960,3.093645871
1961,1.587614877
1962,5.622316641
1963,3.438022282
1964,2.810314645
1965,2.207435389
1966,1.061056112
1967,3.270534651
1968,3.304428345
1969,4.381855941
1970,4.493325608
1971,2.386281118
1972,1.016242103
1973,2.851434941
1974,1.190206648
1975,1.482434366
1976,3.450390588
1977,3.647723816
1978,3.684569624
1979,3.744202842
1980,4.367486371
1981,6.679337616
1982,2.023428174
1983,2.397967972
1984,1.054771531
1985,2.21751153
1986,1.293721994
1987,2.645922492
1988,5.731275902
1989,4.829906112
1990,6.549485594
1991,3.233270993
1992,3.307459171
1993,3.782525497
1994,4.263609617
1995,4.572711958
1996,4.645495155
1997,6.424779015
1998,5.402269447
1999,3.497951366
2000,3.586297109
2001,4.63313696
2002,2.634271144
2003,1.113396115
2004,2.646538946
2005,2.203494543
2006,1.03458768
2007,2.346055908
2008,3.32272434
2009,3.732851016
2010,1.99395777
2011,2.716281668
2012,3.680596124
2013,5.138023478
2014,4.739295646
2015,4.755988801
2016,3.581355878
2017,6.460825393
2018,4.973693655
2019,4.9340891
2020,4.802577479
2021,1.265593541
2022,4.346095407
2023,4.169635359
2024,3.441900748
2025,2.489548758
2026,1.213775984
2027,0.390124714
2028,4.396262302
2029,4.826345682
2030,3.671960846
2031,1.613787191
2032,4.925889478
2033,5.253724895
2034,1.195638535
2035,3.125810199
2036,2.044311762
2037,4.747911086
2038,2.796701116
2039,3.326262074
2040,0.752328133
2041,2.534617827
2042,3.857057032
2043,6.787142884
2044,2.455718022
2045,3.565880357
2046,5.304042782
2047,3.551345661
2048,0.838935292
2049,1.2858409
2050,6.04314902
2051,5.105668431
2052,3.831360495
2053,4.954922452
2054,1.604967203
2055,2.011424524
2056,2.70545584
2057,1.294531583
2058,1.223612397
2059,0.925407546
2060,1.511312894
2061,2.035343896
2062,0.827644198
2063,4.134376837
2064,2.676048098
2065,3.861968728
2066,3.491492539
2067,3.094714596
2068,2.91923871
2069,2.347594204
2070,3.303444589
2071,1.468741577
2072,2.634786244
2073,1.989775563
2074,3.821868251
2075,3.342051687
2076,5.644360587
2077,6.038570603
2078,2.219881705
2079,2.051642056
2080,1.572558552
2081,2.081994846
2082,1.745052405
2083,1.074393449
2084,1.979140012
2085,1.693244139
2086,0.857012315
2087,1.546689674
2088,4.781848457
2089,6.151524458
2090,3.41076981
2091,4.166220779
2092,1.550784072
2093,2.455762945
2094,0.730577349
2095,1.997799468
2096,2.373058093
2097,1.883062149
2098,3.895303369
2099,4.543168007
2100,
