Year,HadGEM2-ES_rcp45
1950,2
1951,2
1952,1
1953,1
1954,1
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,2
1962,1
1963,1
1964,1
1965,1
1966,2
1967,1
1968,1
1969,1
1970,1
1971,2
1972,2
1973,1
1974,2
1975,2
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,2
1983,1
1984,2
1985,1
1986,2
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,2
2003,2
2004,1
2005,2
2006,2
2007,1
2008,1
2009,1
2010,2
2011,1
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,2
2022,1
2023,1
2024,1
2025,1
2026,2
2027,2
2028,1
2029,1
2030,1
2031,2
2032,1
2033,1
2034,2
2035,1
2036,2
2037,1
2038,1
2039,1
2040,2
2041,1
2042,1
2043,1
2044,2
2045,1
2046,1
2047,1
2048,2
2049,2
2050,1
2051,1
2052,1
2053,1
2054,2
2055,2
2056,1
2057,2
2058,2
2059,2
2060,2
2061,1
2062,2
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,2
2070,1
2071,2
2072,1
2073,2
2074,1
2075,1
2076,1
2077,1
2078,2
2079,2
2080,2
2081,2
2082,2
2083,2
2084,1
2085,2
2086,2
2087,2
2088,1
2089,1
2090,1
2091,1
2092,2
2093,1
2094,2
2095,1
2096,1
2097,2
2098,1
2099,1
2100,2
