Date,SJVI
1951,2.087078569
1952,6.498916117
1953,2.645993293
1954,3.154535459
1955,1.179271621
1956,3.465439906
1957,2.004340358
1958,4.417534309
1959,1.976231467
1960,3.789811037
1961,5.138317569
1962,1.267293258
1963,0.671883456
1964,0.539395777
1965,4.809628231
1966,5.484647025
1967,2.348238303
1968,0.815940685
1969,2.851644324
1970,2.654620501
1971,3.430264453
1972,1.790389153
1973,4.290520833
1974,3.383776819
1975,4.457379584
1976,6.222914876
1977,3.06330875
1978,2.214868372
1979,3.700973837
1980,3.355044638
1981,6.603756995
1982,5.41914099
1983,3.240214619
1984,1.080277755
1985,6.363471367
1986,4.536698503
1987,5.143712722
1988,2.532113422
1989,0.941023389
1990,0.869888645
1991,1.972633621
1992,4.690139879
1993,6.97875452
1994,2.815333662
1995,3.073307466
1996,1.186321433
1997,3.975212559
1998,3.515714957
1999,2.626835833
2000,2.926060059
2001,1.700357003
2002,2.726559864
2003,4.766247198
2004,3.840155541
2005,4.521192802
2006,1.14932545
2007,0.477646721
2008,2.737219505
2009,3.622882038
2010,5.711040949
2011,4.409848448
2012,1.913092239
2013,2.785498954
2014,3.088619806
2015,5.077966808
2016,6.397534427
2017,1.973570111
2018,2.524669644
2019,2.746423336
2020,5.58007923
2021,4.128899856
2022,2.851493171
2023,0.996595621
2024,2.047258043
2025,2.340877512
2026,3.266394698
2027,5.582388431
2028,2.546304942
2029,1.029285783
2030,1.315636654
2031,2.491209825
2032,5.253556451
2033,5.861487225
2034,2.497774852
2035,1.355043601
2036,4.079104487
2037,3.246886165
2038,5.158737578
2039,1.470431471
2040,2.022295781
2041,0.86512662
2042,0.760392543
2043,6.42832973
2044,5.396274464
2045,1.500810965
2046,0.879845394
2047,2.541073942
2048,4.973506528
2049,3.040026204
2050,1.242157209
2051,2.225178632
2052,1.70322203
2053,1.53992452
2054,4.466040874
2055,4.609123679
2056,2.075487724
2057,1.77232919
2058,0.511290622
2059,2.870691532
2060,2.982709412
2061,2.569716599
2062,1.567521364
2063,0.953731312
2064,1.676607729
2065,2.332659419
2066,3.908935656
2067,1.420356802
2068,3.043227031
2069,1.843975908
2070,1.925559506
2071,5.915849514
2072,2.896972941
2073,3.753378143
2074,3.515411109
2075,2.272817736
2076,0.706021711
2077,0.563602384
2078,1.989339722
2079,0.961528738
2080,3.312581906
2081,1.016189096
2082,1.373689026
2083,0.581581326
2084,3.631078193
2085,3.268581588
2086,1.148816966
2087,1.526266142
2088,1.391307309
2089,4.245631389
2090,1.780666369
2091,2.165431527
2092,2.342538866
2093,1.466597775
2094,1.13674131
2095,0.657852663
2096,1.632663226
2097,2.899386947
2098,2.313067513
2099,3.468374457
2100,
