Year,Month,Scen,Inflow,Month-Year
1980,10,Historic,0.424042187,1980-10
1980,11,Historic,0.172725733,1980-11
1980,12,Historic,0.66219527,1980-12
1981,1,Historic,1.761499658,1981-1
1981,10,Historic,0.424695321,1981-10
1981,11,Historic,2.75669947,1981-11
1981,12,Historic,1.29248315,1981-12
1981,2,Historic,0.619648865,1981-2
1981,3,Historic,1.572326023,1981-3
1981,4,Historic,4.113002371,1981-4
1981,5,Historic,8.028601851,1981-5
1981,6,Historic,3.006606136,1981-6
1981,7,Historic,0.332594772,1981-7
1981,8,Historic,0.180869627,1981-8
1981,9,Historic,0.075642693,1981-9
1982,1,Historic,4.742462637,1982-1
1982,10,Historic,1.597095162,1982-10
1982,11,Historic,2.148308279,1982-11
1982,12,Historic,5.280432335,1982-12
1982,2,Historic,6.859628031,1982-2
1982,3,Historic,7.715033624,1982-3
1982,4,Historic,16.2808255,1982-4
1982,5,Historic,16.44034707,1982-5
1982,6,Historic,15.80183307,1982-6
1982,7,Historic,5.207241302,1982-7
1982,8,Historic,1.269920184,1982-8
1982,9,Historic,0.933947489,1982-9
1983,1,Historic,6.472209543,1983-1
1983,10,Historic,0.630348621,1983-10
1983,11,Historic,2.214520747,1983-11
1983,12,Historic,5.548689592,1983-12
1983,2,Historic,10.56100912,1983-2
1983,3,Historic,11.82131147,1983-3
1983,4,Historic,6.004562292,1983-4
1983,5,Historic,13.94839357,1983-5
1983,6,Historic,19.94044159,1983-6
1983,7,Historic,11.72367982,1983-7
1983,8,Historic,3.357869765,1983-8
1983,9,Historic,1.759386888,1983-9
1984,1,Historic,3.550006738,1984-1
1984,10,Historic,0.366483399,1984-10
1984,11,Historic,0.906228261,1984-11
1984,12,Historic,0.351708129,1984-12
1984,2,Historic,2.356495874,1984-2
1984,3,Historic,3.186928928,1984-3
1984,4,Historic,3.509343562,1984-4
1984,5,Historic,13.63698356,1984-5
1984,6,Historic,6.548337634,1984-6
1984,7,Historic,1.674575874,1984-7
1984,8,Historic,0.502071077,1984-8
1984,9,Historic,0.320604578,1984-9
1985,1,Historic,0.274938225,1985-1
1985,10,Historic,0.361072224,1985-10
1985,11,Historic,0.74344804,1985-11
1985,12,Historic,0.812061928,1985-12
1985,2,Historic,0.684511974,1985-2
1985,3,Historic,1.228387466,1985-3
1985,4,Historic,5.006014778,1985-4
1985,5,Historic,5.030466419,1985-5
1985,6,Historic,1.759472232,1985-6
1985,7,Historic,0.307093253,1985-7
1985,8,Historic,0.194828863,1985-8
1985,9,Historic,0.21484069,1985-9
1986,1,Historic,0.872309345,1986-1
1986,10,Historic,0.173712913,1986-10
1986,11,Historic,0.108871783,1986-11
1986,12,Historic,0.193870881,1986-12
1986,2,Historic,16.59925996,1986-2
1986,3,Historic,12.44134038,1986-3
1986,4,Historic,6.980533568,1986-4
1986,5,Historic,14.43066445,1986-5
1986,6,Historic,12.77005673,1986-6
1986,7,Historic,2.139754076,1986-7
1986,8,Historic,0.527653434,1986-8
