Elevation (m),Storage (mcm),Area (m2)
107.39628,0,0
134.82828,0.370044,13476.0438
135.13308,0.4070484,121405.8
135.43788,0.4440528,134881.8438
135.74268,0.4810572,148398.3562
136.04748,0.5303964,161874.4
136.35228,0.5797356,171991.55
136.65708,0.6290748,182108.7
136.96188,0.678414,192225.85
137.26668,0.740088,202343
137.57148,0.801762,222577.3
137.87628,0.8757708,242811.6
138.18108,0.9497796,256287.6438
138.48588,1.0237884,269804.1562
138.79068,1.110132,283280.2
139.09548,1.1964756,291373.92
139.40028,1.2828192,299467.64
139.70508,1.3691628,307561.36
140.00988,1.4555064,315655.08
140.31468,1.5541848,323748.8
140.61948,1.6528632,333865.95
140.92428,1.7515416,343983.1
141.22908,1.85022,354100.25
141.53388,1.9612332,364217.4
141.83868,2.0722464,370975.6562
142.14348,2.1832596,377693.4438
142.44828,2.2942728,384451.7
142.75308,2.405286,391209.9562
143.05788,2.5162992,397927.7438
143.36268,2.6396472,404686
143.66748,2.7629952,414803.15
143.97228,2.8863432,424920.3
144.27708,3.0096912,435037.45
144.58188,3.145374,445154.6
144.88668,3.2810568,455271.75
145.19148,3.4167396,465388.9
145.49628,3.5524224,475506.05
145.80108,3.70044,485623.2
146.10588,3.8484576,505857.5
146.41068,4.00881,526091.8
146.71548,4.1691624,546326.1
147.02028,4.3418496,566560.4
147.32508,4.5268716,607029
147.62988,4.7242284,647497.6
147.93468,4.93392,687966.2
148.23948,5.1436116,696059.92
148.54428,5.3533032,704153.64
148.84908,5.5629948,712247.36
149.15388,5.7726864,720341.08
149.45868,5.9947128,728434.8
149.76348,6.2167392,748669.1
150.06828,6.4387656,768903.4
150.37308,6.660792,789137.7
150.67788,6.907488,809372
150.98268,7.154184,849840.6
151.28748,7.40088,890309.2
151.59228,7.647576,930777.8
151.89708,7.894272,971246.4
152.20188,8.202642,1011715
152.50668,8.511012,1037007.875
152.81148,8.819382,1062300.75
153.11628,9.127752,1087593.625
153.42108,9.436122,1112886.5
153.72588,9.744492,1138179.375
154.03068,10.052862,1163472.25
154.33548,10.361232,1188765.125
154.64028,10.731276,1214058
154.94508,11.10132,1242952.58
155.24988,11.471364,1271887.629
155.55468,11.841408,1300782.21
155.85948,12.211452,1329676.79
156.16428,12.581496,1358571.371
156.46908,12.95154,1387506.42
156.77388,13.383258,1416401
157.07868,13.814976,1450111.344
157.38348,14.246694,1483862.156
157.68828,14.678412,1517572.5
157.99308,15.11013,1551282.844
158.29788,15.541848,1585033.656
158.60268,16.03524,1618744
158.90748,16.528632,1669329.75
159.21228,17.022024,1719915.5
159.51708,17.515416,1770501.25
159.82188,18.070482,1821087
160.12668,18.625548,1871672.75
160.43148,19.180614,1922258.5
160.73628,19.73568,1972844.25
161.04108,20.35242,2023430
161.34588,20.96916,2063898.6
161.65068,21.5859,2104367.2
161.95548,22.20264,2144835.8
162.26028,22.81938,2185304.4
162.56508,23.497794,2225773
162.86988,24.176208,2276358.75
163.17468,24.854622,2326944.5
163.47948,25.533036,2377530.25
163.78428,26.273124,2428116
164.08908,27.013212,2461826.344
164.39388,27.7533,2495577.156
164.69868,28.493388,2529287.5
165.00348,29.233476,2562997.844
165.30828,29.973564,2596748.656
165.61308,30.775326,2630459
165.91788,31.577088,2664169.344
166.22268,32.37885,2697920.156
166.52748,33.180612,2731630.5
166.83228,33.982374,2765340.844
167.13708,34.784136,2799091.656
167.44188,35.647572,2832802
167.74668,36.511008,2873270.6
168.05148,37.374444,2913739.2
168.35628,38.23788,2954207.8
168.66108,39.101316,2994676.4
168.96588,40.026426,3035145
169.27068,40.951536,3068855.344
169.57548,41.876646,3102606.156
169.88028,42.801756,3136316.5
170.18508,43.726866,3170026.844
170.48988,44.651976,3203777.656
170.79468,45.63876,3237488
171.09948,46.625544,3304949.156
171.40428,47.612328,3372369.844
171.70908,48.599112,3439831
172.01388,49.585896,3507292.156
172.31868,50.57268,3574712.844
172.62348,51.682812,3642174
172.92828,52.792944,3644318.836
173.23308,53.903076,3646463.672
173.53788,55.013208,3648608.507
173.84268,56.12334,3650753.343
174.14748,57.233472,3652898.179
174.45228,58.343604,3655043.015
174.75708,59.453736,3657187.851
175.06188,60.563868,3659332.686
175.36668,61.674,3661477.522
175.67148,62.90748,3663622.358
175.97628,64.14096,3685070.716
176.28108,65.37444,3706519.074
176.58588,66.60792,3727967.432
176.89068,67.8414,3749415.79
177.19548,69.07488,3770864.148
177.50028,70.30836,3792312.506
177.80508,71.54184,3813760.864
178.10988,72.898668,3835209.222
178.41468,74.255496,3856657.58
