Date,Above,Below,Critical,Dry,Wet
1/1/1900,2,2.333333333,2.4,1.25,2.705882353
1/2/1900,2,2.333333333,1.866666667,1.125,2
1/3/1900,2,2.333333333,2,1.125,1.882352941
1/4/1900,1.857142857,2.666666667,1.666666667,1.125,1.470588235
1/5/1900,2.285714286,2.666666667,1.733333333,1,1.470588235
1/6/1900,2.285714286,2.666666667,1.733333333,1.125,1.470588235
1/7/1900,2.142857143,2.333333333,1.733333333,1.125,1.411764706
1/8/1900,2.142857143,2.333333333,2.8,1.125,1.470588235
1/9/1900,2.142857143,2.333333333,2.133333333,0.875,1.470588235
1/10/1900,2.142857143,2.333333333,2.066666667,0.625,1.352941176
1/11/1900,2,2.333333333,2.066666667,0.625,1.3125
1/12/1900,2,2.333333333,1.933333333,0.625,1.235294118
1/13/1900,1.857142857,2.333333333,1.933333333,0.75,1.235294118
1/14/1900,1.857142857,2.333333333,2,0.75,1.411764706
1/15/1900,1.714285714,2,1.933333333,0.75,1.235294118
1/16/1900,1.714285714,2,1.933333333,0.75,2.176470588
1/17/1900,1.714285714,2,1.933333333,0.75,1.823529412
1/18/1900,1.714285714,2,1.866666667,0.75,1.176470588
1/19/1900,1.714285714,2,1.866666667,0.75,1.176470588
1/20/1900,0.857142857,2.666666667,2.266666667,0.75,1.058823529
1/21/1900,0.571428571,2.666666667,2.333333333,0.75,1
1/22/1900,0.571428571,2.666666667,2.2,0.75,1.058823529
1/23/1900,0.571428571,2.666666667,2.333333333,0.75,1
1/24/1900,0.428571429,2.666666667,2.333333333,0.75,1.235294118
1/25/1900,0.428571429,2.666666667,2.333333333,0.75,1.235294118
1/26/1900,0.714285714,2.666666667,2.333333333,0.75,1.117647059
1/27/1900,0.714285714,2.666666667,2.266666667,0.75,1.294117647
1/28/1900,0.714285714,2.666666667,2.2,0.75,1.176470588
1/29/1900,0.714285714,2.666666667,2.2,0.75,1.176470588
1/30/1900,0.714285714,2.666666667,2.133333333,0.875,1.235294118
1/31/1900,0.714285714,2.666666667,2.2,0.875,1.235294118
2/1/1900,0.857142857,2.666666667,2.133333333,0.875,1.176470588
2/2/1900,0.857142857,2.666666667,2.066666667,0.875,1.117647059
2/3/1900,0.714285714,2.666666667,2.066666667,0.875,1.117647059
2/4/1900,0.714285714,2.666666667,2.066666667,0.875,1.117647059
2/5/1900,0.714285714,2.666666667,2.066666667,0.875,1.117647059
2/6/1900,0.714285714,2.666666667,2.066666667,0.875,1.058823529
2/7/1900,0.714285714,2.666666667,2.133333333,0.75,1.058823529
2/8/1900,0.571428571,2.333333333,2.066666667,0.75,1.058823529
2/9/1900,0.571428571,2.333333333,2.066666667,0.75,1.058823529
2/10/1900,0.571428571,2.333333333,2.066666667,0.75,1
2/11/1900,0.571428571,2.666666667,2.4,0.75,1
2/12/1900,0.571428571,2,2.4,0.75,0.882352941
2/13/1900,0.571428571,1.666666667,2.4,0.75,0.823529412
2/14/1900,0.571428571,1.666666667,2.333333333,0.75,0.823529412
2/15/1900,0.571428571,1.666666667,2.266666667,0.75,0.764705882
2/16/1900,0.571428571,1.666666667,2.266666667,1.125,0.764705882
2/17/1900,0.571428571,0.666666667,2.333333333,1.125,0.705882353
2/18/1900,0.571428571,0.666666667,2.266666667,1.125,0.705882353
2/19/1900,0.571428571,0.666666667,2.866666667,1.125,0.705882353
2/20/1900,0.571428571,0.666666667,2.866666667,1.125,0.647058824
2/21/1900,0.714285714,0.666666667,2.866666667,1.125,0.647058824
2/22/1900,0.571428571,0.666666667,2.866666667,1.125,0.647058824
2/23/1900,0.428571429,0.666666667,2.866666667,0.625,0.647058824
2/24/1900,0.714285714,0.666666667,2.866666667,0.625,0.647058824
2/25/1900,0.714285714,0.666666667,2.866666667,0.625,0.352941176
2/26/1900,0.714285714,0.666666667,2.733333333,1.25,0.411764706
2/27/1900,0.714285714,0.666666667,2.8,1.25,0.411764706
2/28/1900,0.714285714,0.666666667,2.866666667,1.25,0.411764706
2/29/1900,1.5,0.666666667,2,0.5,0
3/1/1900,0.714285714,0.666666667,2.8,1,0.352941176
3/2/1900,0.571428571,0.666666667,2.733333333,0.875,0.470588235
