Date,SJVI
1951,5.163363652
1952,4.319036463
1953,5.649388097
1954,4.889037717
1955,3.490698647
1956,4.515469478
1957,2.640805712
1958,5.435428267
1959,2.303808906
1960,2.644504787
1961,4.149777651
1962,4.327276699
1963,1.528479668
1964,3.653088498
1965,5.380064401
1966,3.454490263
1967,2.281847687
1968,2.696541951
1969,5.378674098
1970,5.037483452
1971,2.397056889
1972,1.857994272
1973,2.810404369
1974,6.732840489
1975,3.097773054
1976,2.575803708
1977,5.379793977
1978,2.290007629
1979,1.331623045
1980,0.638463525
1981,4.230542092
1982,5.386153382
1983,3.557015599
1984,2.399777619
1985,6.235911418
1986,4.756158183
1987,3.189785652
1988,2.43972961
1989,3.762522823
1990,4.750739112
1991,2.270836228
1992,2.823805835
1993,0.891465473
1994,5.913226334
1995,3.101342267
1996,3.01499682
1997,3.794237547
1998,2.49096845
1999,1.641679305
2000,2.07243762
2001,2.207363649
2002,0.561009793
2003,1.428197725
2004,3.656769701
2005,4.682892528
2006,3.832660462
2007,1.041238836
2008,1.629357648
2009,5.149797429
2010,2.813043095
2011,5.200736314
2012,1.882856068
2013,1.367708253
2014,1.942875557
2015,6.556667372
2016,6.668805775
2017,4.767362521
2018,1.309587188
2019,2.186967001
2020,2.577332982
2021,1.437119678
2022,7.361695911
2023,3.40817221
2024,4.801511167
2025,2.232872331
2026,6.01652887
2027,3.698273168
2028,3.034138442
2029,3.869223243
2030,2.171731326
2031,1.927901292
2032,3.714472624
2033,5.272220074
2034,3.009977499
2035,2.934963236
2036,2.079281555
2037,5.066212933
2038,2.159043348
2039,1.374558979
2040,3.796067239
2041,1.102233613
2042,3.154187747
2043,1.069381401
2044,1.683935506
2045,4.440488105
2046,5.227727881
2047,3.883778849
2048,3.721278079
2049,2.88821442
2050,2.099715747
2051,1.698816358
2052,1.9910153
2053,1.593625895
2054,2.251221958
2055,2.170014572
2056,0.889179706
2057,2.562420426
2058,1.513930325
2059,4.060427548
2060,5.988478937
2061,3.537174267
2062,3.445329412
2063,2.819686026
2064,2.249188367
2065,2.326356319
2066,5.173203263
2067,6.092178373
2068,5.151009922
2069,4.630458437
2070,3.433341842
2071,3.838001461
2072,1.568072953
2073,2.730492184
2074,2.468851591
2075,3.511124077
2076,2.191231773
2077,5.577533164
2078,2.695876499
2079,3.11557893
2080,4.091720748
2081,5.52341677
2082,2.099580079
2083,3.803480987
2084,5.99402753
2085,2.699264809
2086,7.891569912
2087,2.916068438
2088,6.077569765
2089,4.374209215
2090,3.440082029
2091,0.998096311
2092,0.546021281
2093,4.229208849
2094,3.566797772
2095,2.987063777
2096,1.191571705
2097,2.609074093
2098,4.132281343
2099,4.87060262
2100,1.801184929
