Recorder,node/Lake McClure/storage,node/Lake McClure/observed storage,Lake McClure Inflow,node/Basin Outflow/flow,Lake McClure Outflow Flood Days,Lake McClure Inflow Flood Days,node/blwNewExchequerPH/flow/ifr_not_met,node/Merced R below Crocker-Huffman Dam/flow/ifr_not_met,Lake McClure Flood Control [node]/ifr_not_met,New Exchequer PH/Hydropower Production,New Merced Falls PH/Hydropower Production,New McSwain PH/Hydropower Production
10/1/1980,841.3813469,841.356708,5.77226341,0.71,0,0,0,0,0,3921.795988,374.0576805,4582.366894
10/2/1980,841.4251201,836.176092,6.044457061,0.71,0,0,0,0,0,4014.862671,373.0563504,3338.403794
10/3/1980,841.4998643,831.118824,6.429345715,0.71,0,0,0,0,0,4034.023458,374.0576805,3668.70663
10/4/1980,841.5965296,826.061556,6.552805685,0.71,0,0,0,0,0,3939.588148,387.0749721,3070.698673
10/5/1980,841.7441089,820.387548,7.06279953,0.71,0,0,0,0,0,3882.105784,389.0776323,3070.698673
10/6/1980,841.9944729,815.33028,8.048556827,0.71,0,0,0,0,0,3734.293995,378.063001,3048.056946
10/7/1980,842.2623064,810.39636,7.997787046,0.71,0,0,0,0,0,3550.897885,377.0616709,3045.393214
10/8/1980,842.5190054,806.07918,7.851923976,0.71,0,0,0,0,0,3538.580235,388.0763022,3619.427578
10/9/1980,842.7074197,801.14526,7.216391248,0.71,0,0,0,0,0,3650.807705,380.0656613,3600.78145
10/10/1980,842.8800544,795.5946,7.018655254,0.71,0,0,0,0,0,3639.858684,371.0536902,3345.063125
10/11/1980,842.917216,789.4272,5.473331637,5.665443484,0,0,0,0,0,3656.282217,1772.729287,5192.113492
10/12/1980,842.9184888,783.999888,5.503093284,14.16048946,0,0,0,0,0,3979.004327,4174.600407,8510.698837
10/13/1980,842.0302273,782.149668,4.778658353,20.53177394,0,0,0,0,0,4578.18902,5989.772037,9075.498036
10/14/1980,841.0833188,781.532928,4.943182005,9.91296647,0,0,0,0,0,4915.692226,2985.180143,5983.029354
10/15/1980,840.700751,781.532928,5.317073888,4.951681991,0,0,0,0,0,4084.935857,1536.792533,3666.296393
10/16/1980,840.4262842,781.532928,4.614384858,2.969504597,0,0,0,0,0,3757.741987,986.1355952,2931.205472
10/17/1980,839.5568174,781.532928,4.360986979,9.907125475,0,0,0,0,0,3570.623329,2950.48409,5426.775452
10/18/1980,837.4352394,781.532928,4.554745057,24.77345593,0,0,0,0,0,3845.060136,7141.492258,10951.94416
10/19/1980,836.1093009,781.532928,4.737572786,15.57048946,0,0,0,0,0,4824.175493,4532.372455,7556.146018
