Date,Above,Below,Critical,Dry,Wet
1/1/1900,3.25,3,3,1.333333333,2.846153846
1/2/1900,3.25,3,3,1.166666667,1.923076923
1/3/1900,3.25,3,3,1.166666667,1.714285714
1/4/1900,3,3,3,1.4,1.230769231
1/5/1900,3.5,3,3,1.333333333,1.230769231
1/6/1900,3.5,3,3,1.333333333,1.153846154
1/7/1900,3.25,3,3,1.333333333,1.076923077
1/8/1900,3.25,3,3,1.333333333,1.076923077
1/9/1900,3.25,3,3,1,1.076923077
1/10/1900,3.25,3,3,0.833333333,1
1/11/1900,3.25,3,3,0.833333333,0.916666667
1/12/1900,3.25,3,3,0.833333333,0.846153846
1/13/1900,3.25,3,3,0.833333333,0.833333333
1/14/1900,3.25,3,3,0.833333333,1
1/15/1900,3,3,3,0.833333333,0.916666667
1/16/1900,3,3,3,0.833333333,2.333333333
1/17/1900,3,3,3,0.833333333,1.916666667
1/18/1900,3,3,3,0.833333333,0.916666667
1/19/1900,3,3,3,0.833333333,0.727272727
1/20/1900,1.5,3,3,0.833333333,0.666666667
1/21/1900,1,3,3,0.833333333,0.666666667
1/22/1900,1,3,3,0.714285714,0.75
1/23/1900,1,3,3,0.714285714,0.75
1/24/1900,0.75,3,3,0.833333333,1.090909091
1/25/1900,0.75,3,3,0.833333333,1.083333333
1/26/1900,1.25,3,3,0.833333333,1
1/27/1900,1.25,3,3,0.833333333,1.166666667
1/28/1900,1.25,3,3,0.833333333,1
1/29/1900,1.25,3,3,0.833333333,1
1/30/1900,1.25,3,3,1,1.083333333
1/31/1900,1.25,3,3,1,1.083333333
2/1/1900,1.25,3,3,1,1
2/2/1900,1.25,4,4,1,0.909090909
2/3/1900,1.25,4,4,1,0.909090909
2/4/1900,1.25,4,4,1,0.909090909
2/5/1900,1.25,4,4,1,0.909090909
2/6/1900,1.25,4,4,1,0.909090909
2/7/1900,1.25,4,4,1,0.909090909
2/8/1900,1,3,3,1,0.909090909
2/9/1900,1,3,3,1,0.909090909
2/10/1900,1,3,3,1,0.818181818
2/11/1900,1,4,4,1,0.818181818
2/12/1900,1,4,4,1,0.3
2/13/1900,1,3,3,1,0.2
2/14/1900,1,3,3,1,0.2
2/15/1900,1,3,3,1,0.1
2/16/1900,1,3,3,1.5,0.1
2/17/1900,1,0,0,1.5,0.1
2/18/1900,1,0,0,1.5,0.1
2/19/1900,1,0,0,1.5,0.1
2/20/1900,1,0,0,1.5,0.1
2/21/1900,1.25,0,0,1.5,0.1
2/22/1900,1,0,0,1.5,0.1
2/23/1900,1,0,0,0.833333333,0.1
2/24/1900,1.25,0,0,0.833333333,0.1
2/25/1900,1.25,0,0,0.833333333,0.1
2/26/1900,1.25,0,0,0.833333333,0.1
2/27/1900,1.25,0,0,0.833333333,0.1
2/28/1900,1.25,0,0,1.142857143,0.1
2/29/1900,1.5,0,0,0.666666667,0
3/1/1900,1.25,0,0,1.142857143,0.1
3/2/1900,1,0,0,1,0.2
3/3/1900,1.333333333,0,0,1,1
3/4/1900,1.333333333,0,0,1,0.636363636
3/5/1900,6.333333333,0,0,1.142857143,1.181818182
3/6/1900,8.666666667,0,0,6.571428571,2.090909091
3/7/1900,14.33333333,1.5,1.5,7.571428571,5
3/8/1900,14.66666667,2,2,7.428571429,5
3/9/1900,14.66666667,2,2,7.285714286,5.333333333
3/10/1900,14.33333333,5.5,5.5,7.285714286,6
3/11/1900,14.33333333,5,5,7.714285714,6
3/12/1900,14,5,5,7.857142857,7.666666667
3/13/1900,14.33333333,5,5,9,5.833333333
3/14/1900,18,5.5,5.5,9.142857143,7.416666667
3/15/1900,19.66666667,2,2,9,8.25
3/16/1900,16.66666667,2.5,2.5,10.42857143,9.583333333
3/17/1900,14.66666667,2.5,2.5,10.57142857,9.583333333
3/18/1900,12,5,5,8.571428571,9.675
3/19/1900,11.5,5,5,7.285714286,10.16666667
3/20/1900,11.5,5,5,7.142857143,8.166666667
3/21/1900,11.75,5,5,8.571428571,8.083333333
3/22/1900,13.75,5,5,11,6.928571429
3/23/1900,12.75,5,5,13.14285714,14.71428571
3/24/1900,13,18,18,14.57142857,9.642857143
3/25/1900,14.5,25,25,14.71428571,5.928571429
3/26/1900,14.5,24,24,17,6
3/27/1900,16.25,24.5,24.5,16.42857143,7
3/28/1900,16.25,26.5,26.5,15.71428571,7
3/29/1900,17.75,27,27,14.71428571,6.953846154
3/30/1900,18,29.5,29.5,16,7.038461538
3/31/1900,24,31.5,31.5,16,10.53846154
4/1/1900,25.25,33.5,33.5,18.71428571,12.61538462
4/2/1900,29,26.5,26.5,20.71428571,12.76923077
4/3/1900,31.5,26.5,26.5,23.57142857,13.23076923
4/4/1900,33.75,28.5,28.5,25,11.46153846
4/5/1900,33.75,29,29,29,11.23076923
4/6/1900,34,28,28,29.85714286,11.38461538
4/7/1900,34.5,28,28,30.85714286,14.41666667
4/8/1900,29.75,28,28,29.71428571,15.33333333
4/9/1900,31,25,25,27,17.83333333
4/10/1900,30,30,30,31.85714286,18.5
4/11/1900,30,31,31,27.42857143,19.58333333
4/12/1900,30,35.5,35.5,28.85714286,20.91666667
4/13/1900,30,29.5,29.5,26.14285714,22.5
4/14/1900,32.75,29.5,29.5,28.14285714,23.58333333
4/15/1900,33.5,25,25,34,25.08333333
4/16/1900,32.5,25,25,37,24.84615385
4/17/1900,25.75,25,25,38.57142857,27.46153846
4/18/1900,27.5,25,25,38.57142857,29.69230769
4/19/1900,27.5,32,32,40.85714286,31.38461538
4/20/1900,29.5,32,32,40,31.46153846
4/21/1900,30.75,32.5,32.5,36.85714286,32.61538462
4/22/1900,36,35,35,35.85714286,34.38461538
4/23/1900,40,35.5,35.5,37.57142857,35.53846154
4/24/1900,39.5,40,40,40.71428571,34.85714286
4/25/1900,42.25,40,40,41.71428571,38.28571429
4/26/1900,42,39,39,43.28571429,39.35714286
4/27/1900,42,40,40,43.42857143,42.85714286
4/28/1900,41.5,39.5,39.5,43.42857143,44.07142857
4/29/1900,39.75,37.5,37.5,43.57142857,44.64285714
4/30/1900,40,29.5,29.5,44,44.57142857
5/1/1900,40.25,30,30,45,40.85714286
5/2/1900,40.25,25,25,39.97,42.8
5/3/1900,42.25,25,25,49.14285714,45.4
5/4/1900,42.25,24.5,24.5,48.57142857,47.46666667
5/5/1900,47.25,24.5,24.5,48.28571429,48.6
5/6/1900,47,24.5,24.5,48.14285714,48.73333333
5/7/1900,46.75,25,25,49,48.26666667
5/8/1900,47,27,27,48.71428571,49.4
5/9/1900,47.25,26.5,26.5,48.71428571,50.73333333
5/10/1900,52.25,27,27,49.71428571,52.5
5/11/1900,52.5,27.5,27.5,50.57142857,53.85714286
5/12/1900,50.75,35,35,52.85714286,52.73333333
5/13/1900,52.5,40,40,53.85714286,52.13333333
5/14/1900,51.5,42,42,54.71428571,50.71428571
5/15/1900,53.25,43,43,56,49.46153846
5/16/1900,52,47.5,47.5,56.57142857,47.73333333
5/17/1900,50,47.5,47.5,56.14285714,50.8
5/18/1900,52.25,43.5,43.5,55.42857143,50.26666667
5/19/1900,51.75,43.5,43.5,56.71428571,50.06666667
5/20/1900,53.5,43,43,56.85714286,50.06666667
5/21/1900,53.5,43.5,43.5,57.14285714,50.33333333
5/22/1900,56.5,54,54,58,50.71428571
5/23/1900,55.5,54,54,58,52.64285714
5/24/1900,54.5,54.5,54.5,57.71428571,53.42857143
5/25/1900,55.75,54.5,54.5,59.28571429,52.66666667
5/26/1900,56.75,57.5,57.5,59.28571429,53.73333333
5/27/1900,57.75,56.5,56.5,59.28571429,55.5
5/28/1900,59.5,57.5,57.5,59.85714286,54.26666667
5/29/1900,60.75,58.5,58.5,60.28571429,55
5/30/1900,60.75,57.5,57.5,63,55.8
5/31/1900,59,58.5,58.5,63.42857143,58
6/1/1900,58.25,58.5,58.5,64.85714286,58.4
6/2/1900,59.5,51.5,51.5,64.28571429,59.4
6/3/1900,59.75,57.5,57.5,65,60.26666667
6/4/1900,57.75,56,56,57.42857143,61
