Parameters, Min, High, StepSize
node/Angels PH/Demand Constant, 10, 1000, 100
node/Collierville PH/Demand Constant, 10, 1000, 100
node/Donnells PH/Demand Constant, 10, 1000, 100
node/Murphys PH/Demand Constant, 10, 1000, 100
node/Phoenix PH/Demand Constant, 10, 1000, 100
node/Sand Bar PH/Demand Constant, 10, 1000, 100
node/Spring Gap PH/Demand Constant, 10, 1000, 100
node/Stanislaus PH/Demand Constant, 10, 1000, 100
node/Beardsley Reservoir/Storage Value, -1000, 0, 100
node/Donnells Reservoir/Storage Value, -1000, 0, 100
node/Lyons Reservoir/Storage Value, -1000, 0, 100
node/New Spicer Meadow Reservoir/Storage Value, -1000, 0, 100
node/Pinecrest Reservoir/Storage Value, -1000, 0, 100
node/Relief Reservoir/Storage Value, -1000, 0, 100
